Age,Gender,Language,Country,Condition,Diverse_Target1,Diverse_Target2,Diverse_Target3,NonDiverse_Target1,NonDiverse_Target2,NonDiverse_Target3,Diverse_Filler1,Diverse_Filler2,Diverse_Filler3,NonDiverse_Filler4,NonDiverse_Filler5,NonDiverse_Filler6
35,Male,Yes,United States of America,2,7,5,5,7,6,3,6,5,7,7,3,5
31,Male,Yes,United States of America,2,6,3,5,3,3,2,7,6,2,2,5,2
35,Female,Yes,United States of America,2,4,1,1,1,1,1,5,4,2,1,3,1
31,Male,Yes,United States of America,2,6,6,6,6,4,2,7,7,7,6,7,4
53,Female,Yes,United States of America,2,5,6,6,5,6,5,5,5,6,6,6,6
41,Female,Yes,United States of America,2,7,7,7,7,7,7,7,7,7,7,7,7
29,Male,Yes,United States of America,2,3,4,4,4,5,5,7,6,4,3,4,4
39,Female,Yes,United States of America,2,5,2,5,2,2,2,3,2,1,2,2,1
23,Male,Yes,United States of America,2,7,5,6,2,6,3,7,7,3,2,5,5
20,Female,Yes,United States of America,2,3,2,6,6,4,7,2,6,4,4,6,3
30,Female,Yes,United States of America,2,7,7,6,5,3,2,7,5,3,2,4,2
35,Female,Yes,United States of America,2,2,4,3,2,2,3,3,6,3,2,4,2
34,Male,Yes,United States of America,2,6,5,6,3,2,3,5,6,5,4,6,6
42,Female,Yes,United States of America,2,6,5,6,6,7,6,7,6,6,5,5,5
25,Female,Yes,United States of America,2,4,2,2,4,4,3,4,4,4,3,4,4
36,Female,Yes,United States of America,2,5,6,6,3,2,7,3,6,6,6,7,5
32,Male,Yes,United States of America,2,4,2,3,2,2,2,4,2,3,5,5,2
20,Male,Yes,United States of America,2,7,6,6,4,3,2,5,6,6,5,5,2
27,Male,Yes,United States of America,2,7,5,4,3,5,3,7,5,5,4,4,3
51,Male,Yes,United States of America,2,4,6,4,4,5,3,6,6,3,5,5,4
51,Female,Yes,United States of America,2,4,6,7,3,6,4,6,5,6,5,6,4
55,Female,Yes,United States of America,2,6,2,5,5,3,4,6,5,5,3,3,4
26,Male,Yes,United States of America,2,4,4,4,4,4,4,5,4,4,4,4,5
29,Male,Yes,United States of America,2,6,3,3,5,5,1,4,4,1,2,2,5
38,Male,Yes,United States of America,2,5,3,5,6,5,4,5,6,6,5,5,5
34,Male,Yes,United States of America,2,5,5,4,4,4,3,7,2,4,3,4,4
27,Female,Yes,United States of America,2,7,6,6,6,3,1,7,4,5,2,5,4
31,Male,Yes,United States of America,2,7,4,6,5,4,4,4,6,4,5,4,4
56,Male,Yes,United States of America,2,4,2,3,4,2,3,5,4,6,5,4,5
33,Female,Yes,United States of America,2,6,7,6,3,4,3,6,6,6,6,4,3
73,Male,Yes,United States of America,2,7,7,7,7,7,7,7,7,7,7,7,7
32,Male,Yes,United States of America,2,6,4,6,1,3,2,5,6,5,3,4,4
22,Male,Yes,United States of America,2,6,6,6,4,3,2,7,5,5,4,3,5
47,Male,Yes,United States of America,2,4,4,5,4,6,6,5,4,5,5,5,5
60,Male,Yes,United States of America,2,6,5,6,5,5,5,6,6,6,6,6,5
39,Male,Yes,United States of America,2,2,2,2,2,2,2,2,2,2,2,2,3
29,Male,Yes,United States of America,2,7,5,7,5,5,6,5,7,6,6,6,6
35,Male,Yes,United States of America,2,5,6,5,5,5,4,6,7,5,6,5,6
24,Female,Yes,United States of America,2,2,6,3,5,3,3,2,6,5,5,7,5
45,Female,Yes,United States of America,2,6,7,2,3,4,4,7,5,7,5,5,7
44,Male,Yes,United States of America,2,6,5,6,4,3,4,6,5,5,3,3,3
38,Female,Yes,United States of America,2,7,7,7,5,5,7,7,7,7,5,7,3
24,Female,Yes,United States of America,2,2,1,1,3,1,1,5,3,3,2,4,3
24,Male,Yes,United States of America,2,4,5,5,3,5,6,5,5,7,4,3,5
29,Male,Yes,United States of America,2,7,7,3,6,7,3,5,6,3,5,3,5
57,Female,Yes,United States of America,2,6,3,5,2,3,1,7,7,4,4,1,2
